1427507.569,,,,,,,
    (KSh million),,,,,,,
Year/Month/,Amount,Tenor,Type of,Amount,Amount,Amount,Amount
Quarter,Offered,(years),Treasury bond,allotted,rejected,redeemed,outstanding
,,,,,,,312555.8
September,,10,Discounted fixed,4151.6,405.94,,
,,6,Discounted fixed,,,1997.35,
,,,,,,,314710.05
October,,5,Discounted fixed,4416.45,646.44,,
,,2,Discounted fixed,,,4112.65,
,,,,,,,315013.85
November,,1,Zero coupon,"5,900.75","2,705.15",,
,,,,,,,320914.6
December,,2,Discounted fixed,3198.55,215.37,,
,,1,Special  bond,,,4500,
,,1,Special  bond,,,1000,
,,,,,,,318613.15
2009,,1,Zero coupon,6727.15,956.16,,
January,,2,Discounted fixed,,,3287.1,
,,6,Discounted fixed,,,1424.7,
,,,,,,,320628.5
February,,12,Discounted fixed,"19,726.85","6,268.82",,
,,1,Zero coupon,,,4460,
,,3,Discounted fixed,,,5731,
,,,,,,,330164.35
March,,2,Discounted fixed,"8,671.00","5,847.30",,
,,2,Discounted fixed,,,4416.35,
,,,,,,,
,,,,,,,334419
April,,5,Discounted fixed,"5,591.05","3,144.54",,
,,10,Discounted fixed,"4,966.85","3,638.60",,
,,5,Discounted fixed,,,1521.25,
,,,,,,,343455.65
May,,2,Discounted fixed,3695.2,670.08,,
,,15,Discounted fixed,"10,189.20","2,790.40",,
,,4,Discounted fixed,,,3624.9,
,,6,Discounted fixed,,,5396.25,
,,,,,,,348318.9
June,,2,Discounted fixed,"6,056.05","1,029.47",,
,,20,Discounted fixed,"7,613.01","5,140.27",,
,,3,Special bond,,,1244.01,
,,,,,,,360743.95
July,,10,Discounted fixed,"12,622.70","2,897.09",,
,,1,Zero Coupon,,,2161.4,
,,,,,,,371205.25
August,,5,Discounted fixed,10458.35,537.48,,
,,3,Discounted fixed,,,3186.85,
,,,,,,,378476.75
September,,2,Discounted fixed,"7,974.55","1,223.77",,
,,5,Discounted fixed,"3,452.80","1,699.81",,
,,3,Discounted fixed,,,3830.05,
,,,,,,,386074.05
October,,2,Discounted fixed,"9,420.45","1,223.77",,
,,3,Discounted fixed,,,5607.05,
,,,,,,,389887.45
November,,6,Discounted fixed,,,1693.9,
,,2,Special bond,,,1250,
,,1,Zero Coupon,,,5900.75,381042.8
December,,12,Discounted fixed,"18,897.65","17,971.87",,
,,20,Discounted fixed,"10,834.80","7,382.25",,
,,2,Discounted fixed,,,7086.9,
,,1,Special bond,,,1000,
,,,,,,,402688.35
2010,,1,Zero Coupon ,,,6727.15,
January,,2,Special bond,,,500,
,,,,,,,395461.2
February,,2,Discounted fixed,"7,170.85","7,842.48",,
,,5,Discounted fixed,"9,786.30","4,321.02",,
,,6,Discounted fixed,,,4415,
,,,,,,,408003.35
March,,2,Discounted fixed,"6,157.30","8,598.06",,
,,8,Discounted fixed,"15,913.05","13,725.42",,
,,15,Discounted fixed,"10,201.45","19,023.47",,
,,7,Discounted fixed,,,2800.8,
,,,,,,,437474.35
April,,10,Discounted fixed,"12,052.60","4,565.19",,
,,2,Discounted fixed,,,3247.45,
,,4,Discounted fixed,,,3923.25,
,,,,,,,442356.25
May,,5,Discounted fixed,"11,924.85","6,765.59",,
,,2,Discounted fixed,,,6846.6,
,,5,Special bond,,,4000,
,,,,,,,443434.5
June,,25,Discounted fixed,"7,008.15","19,572.06",,
,,5,Discounted fixed,,,1827.3,
,,,,,,,448615.35
July,,25,Discounted fixed,13184.35,,,
,,6,Discounted fixed,,,2525.25,
,,,,,,,459274.45
August,,9,Discounted fixed,32871.55,,,
,,2,Discounted fixed,,,3653.7,
,,,,,,,488492.3
September,,2,Discounted fixed,12740.95,,,
,,,,,,,501233.25
October,,10,Discounted fixed,13847.9,,,
,,5,Discounted fixed,,,3095.35,
,,,,,,,511985.8
November,,5,Discounted fixed,11968.75,,,
,,5,Discounted fixed,,,5941.25,
,,3,Special Bond,,,218.8,
,,,,,,,517794.5
December,,10,Discounted fixed,8946.2,,,
,,15,Discounted fixed,7329.35,,,
,,2,Discounted fixed,,,3198.55,
,,3,Special Bond,,,1000,
,,,,,,,529871.5
2011,,10,Discounted fixed,1111.65,,,
January,,5,Discounted fixed,10810.2,,,
,,7,Discounted fixed,,,2661.4,
,,3,Special Bond,,,562,
,,,,,,,538569.95
February,,30,Discounted fixed,8718.1,,,
,,2,Discounted fixed,14226.5,,,
,,4,Discounted fixed,,,3383.65,
,,,,,,,
,,,,,,,558130.9
March,,30,Discounted fixed,10041.5,,,
,,5,Discounted fixed,11272.9,,,
,,2,Discounted fixed,,,8671,
,,,,,,,
,,,,,,,570774.3
April,,15,Discounted fixed,6183.75,,,
,,8,Discounted fixed, -   ,,3907.25,
,,2,Discounted fixed,1438.9,,,
,,,,,,,
,,,,,,,574489.7
May,,20,Discounted fixed,8138.5,,,
,,10,Discounted fixed,7341.55,,,
,,5,Discounted fixed, -   ,,1864.3,
,,2,Discounted fixed,7034.4,,9751.25,
,,,,,,,
,,,,,,,585388.6
June,,20,Discounted fixed,1227.3,,,
,,5,Discounted fixed,1723.4,,,
,,2,Discounted fixed,7322,,,
,,,,,,,
,,,,,,,595661.3
July,,20,Discounted fixed,,,,
,,10,Discounted fixed,3890.35,,2593.65,
,,2,Discounted fixed,3995.95,,,
,,,,,,,600953.95
August,,30,Discounted fixed,3376.8,,,
,,7,Discounted fixed,,,1772.8,
,,5,Discounted fixed,1280.95,,,
,,,,,,,603838.9
September,,20,Discounted fixed,,,,
,,8,Discounted fixed,,,5023.45,
,,2,Discounted fixed,677.55,,7974.55,
,,,,,,,591518.45
October,,12,Discounted fixed,14097.85,,,
,,2,Discounted fixed,233.15,,,
,,,,,,,
,,,,,,,605849.45
November,,12,Discounted fixed,328.8,,,
,,2,Discounted fixed,9972.75,,,
,,,,,,,
,,,,,,,616151
December,,12,Discounted fixed,247.75,,,
,,6,Discounted fixed, -   ,,7407.2,
,,2,Discounted fixed,13455.5,,,
,,1,Discounted fixed,11102.3,,,
,,,,,,,633549.35
2012,,12,Discounted fixed,1626.9,, -   ,
January,,5,Discounted fixed, -   ,,2811,
,,2,Discounted fixed, -   ,,7170.85,
,,1,Discounted fixed,14938.45,, -   ,
,,,,,,,640132.85
February,,12,Discounted fixed,27146.05,, -   ,
,,1,Discounted fixed,10511.6,, -   ,
,,,,,,,677790.5
March,,1,Discounted fixed,14969.85,, -   ,
,,2,Discounted fixed,,,6157.3,
,,8,Discounted fixed,,,3037.8,683565.25
April,,2,Discounted fixed,6418.05,, -   ,
,,1,Discounted fixed,,, -   ,
,,,,,,,689983.3
May,,9,Discounted fixed,4905.55,,2367.75,
,,1,Discounted fixed,,, -   ,
,,,,,,,692521.1
June,,10,Discounted fixed,443.15,,6013.35,
,,,,,,,
,,,,,,,686950.9
July,,10,Discounted fixed,5298.85,,7187.35,
,,5,Discounted fixed,7925.8,, -   ,
,,,,,,,692988.2
August,,2,Discounted fixed,16312.35,,,
,,5,Discounted fixed,,,4575.55,
,,,,,,,704725
September,,15,Discounted fixed,21089.45,,,
,,5,Discounted fixed,,,9188.6,
,,2,Discounted fixed,,,12740.95,703884.9
October,,,,,,,
,,2,Discounted fixed,13764.3,,,717649.2
November,,20,Discounted fixed,3461.35,,,
,,6,Discounted fixed,,,5767.45,
,,,,,,,715343.1
December,,2,Discounted fixed,20774,,,
,,2,Discounted fixed,,,8946.2,
,,1,Discounted fixed,,,11102.3,716068.7
21013,,5,Discounted fixed,18248.2,,,
January,,20,Discounted fixed,4956.5,,,
,,7,Discounted fixed,,,3235.4,
,,5,Discounted fixed,,,5530.85,
,,1,Discounted fixed,,,14938.45,715568.7
February,,2,Discounted fixed,20445.8,,,
,,15,Discounted fixed,5875.7,,,
,,1,Discounted fixed,,,10511.6,
,,2,Discounted fixed,,,14226.5,717152.1
March,,2,Discounted fixed,19960.65,,,
,,10,Discounted fixed,11061.75,,,
,,1,Discounted fixed,,,14969.85,733204.65
April,,2,Discounted fixed,,,7322,
,,2,Discounted fixed,,,1438.9,
,,2,Discounted fixed,,,7034.5,
,,5,Discounted fixed,,,4095.8,
,,2,Discounted fixed,,,3995.95,
,,6,Discounted fixed,,,5948,
,,5,Discounted fixed,20240.75,,,
,,15,Discounted fixed,17385.85,,,740996.1
May,,20,Discounted fixed,10882.7,,,
,,6,Special Floating ,,,5000,746878.8
June,,10,Discounted fixed,,,2704.8,744174
   July,,5,Discounted fixed,12888,,,
,,10,Discounted fixed,12121.35,,,
,,15,Discounted fixed,7507.1,,,776690.45
August,,10,Discounted fixed,,,6352.69,
,,5,Discounted fixed,,,4127.5,
,,5,Discounted fixed,,,10007.56,
,,2,Discounted fixed,17927.4,,,
