ISSUE OF TREASURY BILLS,,,,,,,
    (KSh million),,,,,,,
Year/Month,Total amount offered (Primary market),Tenure,Amount,Amount,Amount,Amount,
,,(days),allotted\1,rejected,redeemed,outstanding,
,,364,"5,003.30",,865.65,,
,,Repo, -   ,, -   ,"189,525.20",
October ,,182,"14,089.20",,"20,961.00",,
,,91,"9,092.00",,"9,742.45",,
,,364,"1,119.65",,208.55,,
,,Repo, -   ,, -   ,"182,914.05",
November,,182,"31,761.85",,"6,452.95",,
,,91,"25,031.40",,"21,878.30",,
,,364,"2,755.65",,141.5,,
,,Repo, -   ,, -   ,"213,990.20",
December,,182,"9,506.10",,"5,410.90",,
,,91,"14,749.05",,"12,409.20",,
,,364,"6,472.55",,855.35,,
,,Repo,"12,748.00",,"12,748.00","226,042.45",
2013,,182,"3,795.35",,"5,407.00",,
January,,91,"11,830.70",,"7,826.70",,
,,364,"8,187.15",,"2,908.25",,
,,Repo,"1,600.00",,"2,000.00","233,313.70",
February,,182,"3,688.50",,"19,983.50",,
,,91,"6,359.50",,"25,031.40",,
,,364,"6,988.25",,"11,229.25",,
,,Repo, -   ,, -   ,"194,105.80",
March,,182,"9,576.90",,"16,166.60",,
,,91,"15,410.20",,"14,173.30",,
,,364,"34,718.20",,"7,491.80",,
,,Repo,"4,000.00",,"4,000.00","215,979.40",
April,,182,"11,796.65",,"14,089.20",,
,,91,"14,402.00",,"12,406.45",,
,,364,"72,048.15",,"4,280.80",,
,,Repo, -   ,, -   ,"283,449.75",
May,,182,"13,892.95",,"31,761.85",,
,,91,"10,454.65",,"6,359.50",,
,,366,"23,256.70",,"2,304.05",,
,,Repo, -   ,, -   ,"290,628.65",
June,,182,"9,196.75",,"9,285.90",,
,,91,"11,346.70",,"15,410.20",,
,,365,"10,165.85",,48.1,,
,,Repo, -   ,, -   ,"296,593.75",
July,,182,"1,591.45",,"4,015.55",,
,,91,"6,962.75",,"14,402.00",,
,,365,"4,130.35",,207.75,,
,,Repo, -   ,,"7,035.00","283,618.00",
August,,182,"8,408.10",,"3,688.50",,
,,91,"11,936.20",,"10,454.65",,
,,365,"18,457.70",,"7,917.40",,
,,Repo,"10,480.00",,"10,480.00","300,359.45",
September,,182,"16,341.80",,"12,417.70",,
,,91,"22,094.75",,"12,001.80",,
,,365,"20,600.05",,"5,003.30",,
,,Repo, -   ,, -   ,"329,973.25",
October,,182,"5,741.40",,"8,955.85",,
,,91,"8,305.15",,"6,307.65",,
,,365,"6,751.10",,"1,119.65",,
,,Repo, -   ,, -   ,"334,387.75",
November,29000,182,"8,899.70",,"13,892.95",,
,,91,"7,886.30",,"11,936.20",,
,,365,"9,836.95",,"2,755.65",,
,,Repo, -   ,, -   ,"338,906.05",
December,29000,182,"7,002.75",,"9,582.35",,
,,91,"14,110.95",,"22,094.75",,
,,365,"14,219.50",,"6,472.05",,
,,Repo,"12,748.00",,"12,748.00","336,090.10",
2014,,182,"8,629.90",,"1,205.85",,
January,36000,91,"8,758.70",,"8,305.15",,
,,365,"9,307.20",,"8,187.15",,
,,Repo,"1,445.00",,"2,000.00","344,532.75",
February,36000,182,"10,796.20",,"8,408.10",,
,,91,"6,572.65",,"7,886.30",,
,,365,"7,415.45",,"6,988.25",,
,,Repo, -   ,, -   ,"346,034.40",
March,45000,182,"24,944.95",,"16,341.80",,
,,91,"18,572.60",,"14,110.95",,
,,365,"22,289.45",,"50,331.95",,
,,Repo,"4,000.00",,"4,000.00","331,056.70",
April,36000,182,"15,010.80",,"5,741.40",,
,,91,"8,269.55",,"8,758.70",,
,,365,"21,566.80",,"56,434.40",,
,,Repo, -   ,, -   ,"304,969.35",
May,36000,182,"11,548.05",,"8,899.70",,
,,91,"14,343.25",,"6,572.65",,
,,365,"10,954.20",,"23,256.70",,
,,Repo, -   ,, -   ,"303,085.80",
June,57000,182,"18,018.90",,"7,002.75",,
,,91,"32,047.15",,"18,572.60",,
,,365,"10,402.10",,"10,299.30",,
,,Repo, -   ,, -   ,"327,679.30",
July,42000,182,"13,550.85",,"8,629.90",,
,,91,"13,028.90",,"8,269.55",,
,,365,"13,541.40",,"3,996.90",,
,,Repo,,,,"346,904.10",
August,45000,182,"7,044.65",,"10,796.20",,
,,91,"8,250.75",,"14,343.25",,
,,365,"15,284.75",,"18,457.70",,
,,Repo,,,555.15,"333,331.95",
September,60000,182,"3,297.90",,"24,944.95",,
,,91,"12,200.80",,"32,047.15",,
,,365,"32,520.10",,"20,600.05",,
,,Repo, -   ,, -   ,"303,758.60",
October,48000,182,"7,258.65",,"15,010.80",,
,,91,"7,825.90",,"13,028.90",,
,,365,"27,563.45",,"6,751.10",,
